timestamp,DO,WT,Elevation,DOsat,DO_percent
2022/6/5 0:00,1.683,27.84,38,6.181120995,27.22807079
2022/6/5 4:00,1.273,26.63,38,7.473131308,17.03435879
2022/6/5 8:00,1.779,25.81,38,8.243486592,21.58067439
2022/6/5 12:00,8.062,25.3,38,8.68197228,92.85908477
2022/6/5 16:00,8.046,25.48,38,8.530682586,94.31836103
2022/6/5 20:00,4.69,30.46,38,2.688612082,174.4394452
2022/6/6 0:00,1.086,28.01,38,5.984098818,18.14809603
2022/6/6 4:00,0.93,25.5,38,8.513640564,10.92364651
2022/6/6 8:00,2.967,25.06,38,8.877901688,33.4200592
2022/6/6 12:00,8.635,30.14,38,3.169505521,272.4399735
2022/6/6 16:00,9.545,30.27,38,2.976043769,320.7278098
2022/6/6 20:00,6.724,27.94,38,6.065700003,110.8528281
2022/6/7 0:00,1.905,25.27,38,8.706823624,21.87939118
2022/6/7 4:00,1.667,23.42,38,10.04789938,16.59053238
2022/6/7 8:00,4.698,23.39,38,10.06668236,46.66880143
2022/6/7 12:00,12.883,29.25,38,4.425526558,291.1066024
2022/6/7 16:00,13.285,31.57,38,0.895654082,1483.273538
2022/6/7 20:00,5.724,28.66,38,5.194157405,110.200742
2022/6/8 0:00,1.447,25.72,38,8.323086364,17.38537769
2022/6/8 4:00,1.295,23.44,38,10.03532721,12.90441231
2022/6/8 8:00,5.504,23.29,38,10.1286425,54.34094451
2022/6/8 12:00,11.52,29.33,38,4.317432545,266.8252458
2022/6/8 16:00,11.543,31.17,38,1.564484941,737.8147079
2022/6/8 20:00,3.974,28.83,38,4.977800136,79.83446285
2022/6/9 0:00,1.177,26.53,38,7.571505749,15.54512456
2022/6/9 4:00,1.106,24.77,38,9.105962636,12.14588775
2022/6/9 8:00,3.729,24.43,38,9.361480052,39.83344492
2022/6/9 12:00,11.526,29.79,38,3.677579048,313.4127058
2022/6/9 16:00,10.968,30.19,38,3.095403639,354.3318183
2022/6/9 20:00,8.961,28.78,38,5.041860596,177.7320065
2022/6/10 0:00,5.99,27.35,38,6.727338787,89.03966619
2022/6/10 4:00,3.948,26.04,38,8.035671751,49.13092673
2022/6/10 8:00,4.718,25.39,38,8.606796189,54.81714562
2022/6/10 12:00,9.001,25.46,38,8.547678031,105.3034516
2022/6/10 16:00,13.206,26.53,38,7.571505749,174.41709
2022/6/10 20:00,13.562,26.42,38,7.678278458,176.6281345
